dis	prefix	not; apart; reverse, negate	Latin	disable,disadvantage,disaffect,disagree	v:1	dis-(0)=not; apart; reverse, negate	c:0	
divid	root	divide	Latin	divide,dividend,divisible,division	v:1	divid(0)=divide	c:0	divis
doc	root	teach	Latin	docent,docile,doctor,doctrinaire	v:1	doc(0)=teach	c:0	doct
dodeca	root	twelve, twelfth	Greek	dodecagon,dodecahedron	v:1	dodeca(0)=twelve, twelfth	c:0	
dom	root	house	Latin	condominium,domestic,domesticate,domicile	v:3	dom2(2)=house | -dom(0)=domain of; state of being | dom1(1)=master	c:3	domin
don	root	give	Latin	condone,data,dative,donate	v:1	don(0)=give	c:0	donat/dat
dont	root	tooth, teeth	Greek	endodontics,iguanodon,mastodon,odontology	v:1	dont(0)=tooth, teeth	c:0	odont/odonto/odon
dox	root	opinion, belief	Greek	dogma,dogmatic,dogmatism,doxology	v:1	dox(0)=opinion, belief	c:0	dogma
du	root	two	Latin	dual,duet,duo,duodecimal	v:1	du(0)=two	c:0	duo
duc	root	lead; draw along	Latin	abduct,adduce,aqueduct,conduce	v:1	duc(0)=lead; draw along	c:0	duct
dyn	root	power, energy, strength	Greek	aerodynamics,dynamic,dynamics,dynamism	v:1	dyn(0)=power, energy, strength	c:0	dyna/dynam/dynamo
dys	prefix	bad, difficult, abnormal	Greek	dysentery,dysfunction,dyslexia,dysmenorrhea	v:1	dys-(0)=bad, difficult, abnormal	c:0	
e	prefix	out, out of, away	Latin	ebullient,edentulous,edict,educate	v:1	e-(0)=out, out of, away	c:0	
ec	root	out, outside	Greek	appendectomy,eccentric,ecstasy,ectoderm	v:1	ec(0)=out, outside	c:0	ect/ecto
eco	root	habitat, environment	Greek	ecocide,ecology,economic,economics	v:1	eco(0)=habitat, environment	c:0	
ee	suffix	person who undergoes or receives	Latin	committee,detainee,donee,employee	v:1	-ee(0)=person who undergoes or receives	c:0	
eer	suffix	one who does or is related to	Latin	auctioneer,balladeer,buccaneer,cameleer	v:1	-eer(0)=one who does or is related to	c:0	
ef	prefix	out, out of, away	Latin	effect,efficient,effluent,effluvium	v:1	ef-(0)=out, out of, away	c:0	
ego	root	I, self	Latin	alter ego,ego,egocentric,egoist	v:1	ego(0)=I, self	c:0	
electr	root	electric	Greek	dynamoelectric,electrocardiograph,electroencephalograph,electroscope	v:1	electr(0)=electric	c:0	
en	suffix	made of	Old English	ashen,brazen,earthen,golden	v:4	-en2(2)=made of | en-2(2)=in, into, inside | en-1(1)=to put into; cause to be or have | -en1(1)=to cause to be or become or have	c:5	em
endo	prefix	inside	Greek	endoblast,endocarditis,endocarp,endocrine	v:1	endo-(0)=inside	c:0	
ennea	root	nine	Greek	ennead	v:1	ennea(0)=nine	c:0	
entero	root	intestine	Greek	enteritis,enterostomy,gastroenteritis	v:1	entero(0)=intestine	c:0	
epi	prefix	on, upon, over; beyond, after, outside	Greek	ephemeral,ephemeris,epiblast,epicalyx	v:1	epi-(0)=on, upon, over; beyond, after, outside	c:0	eph/ep
equ	root	equal	Latin	adequate,equable,equal,equality	v:1	equ(0)=equal	c:0	equi
er	suffix	a person or thing that does	Latin	actor,administrator,builder,batter3	v:1	-er(0)=a person or thing that does	c:0	or/ar
erg	root	work	Greek	allergy,dramaturgy,energetics,energy	v:1	erg(0)=work	c:0	ergo/urg
err	root	error, wander	Latin	aberrant,aberration,err,errand	v:1	err(0)=error, wander	c:0	
erythr	root	red	Greek	erythrocyte,erythromycin	v:1	erythr(0)=red	c:0	erythro
es	prefix	out, out of, away	Latin	escape,escort	v:1	es-(0)=out, out of, away	c:0	
escent	suffix	becoming; beginning to	Latin	arborescent,bioluminescent,crescent,effervescent	v:1	-escent(0)=becoming; beginning to	c:0	
esthes	root	feeling, sensation, sense perception	Greek	aesthete,aesthetic,aesthetics,anesthesia	v:1	esthes(0)=feeling, sensation, sense perception	c:0	aesthes/esthet/aesthet
ethno	root	race, culture, people	Greek	ethnobotany,ethnocentric,ethnology,ethnomusicology	v:1	ethno(0)=race, culture, people	c:0	
eu	prefix	good, well	Greek	eucalyptus,Eucharist,eugenics,euglena	v:1	eu(0)=good, well	c:0	
evaev	root	age, era	Latin	coeval,medieval,primeval	v:1	ev (aev)(0)=age, era	c:0	
ex	prefix	out, out of, away from	Latin	exalt,exceed,excel,excellent	v:1	ex-(0)=out, out of, away from	c:0	
exo	prefix	outer, outside	Greek	exobiology,exocarp,exogamy,exophthalmos	v:1	exo-(0)=outer, outside	c:0	
extr	prefix	on the outside, beyond	Latin	external,extracurricular,extraneous,extraordinary	v:1	extr-(0)=on the outside, beyond	c:0	extra/exter
fac	root	make, do	Latin	affect,affection,artifice,artificial	v:1	fac(0)=make, do	c:0	fic/fec/fact/fect
faction	suffix	act or process of making or becoming	Latin	ammonification,amplification,beatification,beautification	v:1	-faction(0)=act or process of making or becoming	c:0	ification/efaction
